entry_ts,exit_ts,direction,pnl_ticks
2024-05-16 11:00:00 UTC,2024-05-16 11:05:00 UTC,long,98.0
2024-05-17 12:50:00 UTC,2024-05-17 16:55:00 UTC,long,81.0
2024-05-20 11:00:00 UTC,2024-05-20 11:40:00 UTC,long,35.0
2024-05-20 11:50:00 UTC,2024-05-20 12:10:00 UTC,long,-25.0
2024-05-21 11:10:00 UTC,2024-05-21 11:25:00 UTC,long,10.0
2024-05-21 11:40:00 UTC,2024-05-21 12:05:00 UTC,long,-25.0
2024-05-22 11:00:00 UTC,2024-05-22 11:20:00 UTC,long,15.0
2024-05-22 11:30:00 UTC,2024-05-22 11:45:00 UTC,long,-25.0
2024-05-23 11:00:00 UTC,2024-05-23 11:05:00 UTC,short,269.0
2024-05-24 11:00:00 UTC,2024-05-24 11:15:00 UTC,long,45.0
2024-05-24 11:35:00 UTC,2024-05-24 12:25:00 UTC,long,20.0
2024-05-27 11:00:00 UTC,2024-05-27 12:59:00 UTC,long,73.0
2024-05-28 11:00:00 UTC,2024-05-28 11:10:00 UTC,short,40.0
2024-05-29 11:00:00 UTC,2024-05-29 11:20:00 UTC,short,35.0
2024-05-29 12:25:00 UTC,2024-05-29 12:50:00 UTC,short,10.0
2024-05-30 11:00:00 UTC,2024-05-30 11:10:00 UTC,short,-25.0
2024-05-30 11:30:00 UTC,2024-05-30 11:40:00 UTC,long,-25.0
2024-05-31 11:00:00 UTC,2024-05-31 11:10:00 UTC,short,-25.0
2024-05-31 11:20:00 UTC,2024-05-31 11:35:00 UTC,short,-25.0
2024-06-03 11:00:00 UTC,2024-06-03 11:05:00 UTC,short,202.0
2024-06-04 11:00:00 UTC,2024-06-04 11:25:00 UTC,long,30.0
2024-06-04 11:35:00 UTC,2024-06-04 11:40:00 UTC,long,-25.0
2024-06-05 11:00:00 UTC,2024-06-05 11:05:00 UTC,short,119.0
2024-06-06 11:05:00 UTC,2024-06-06 11:30:00 UTC,long,10.0
2024-06-06 11:40:00 UTC,2024-06-06 12:05:00 UTC,long,-25.0
2024-06-07 11:00:00 UTC,2024-06-07 11:05:00 UTC,long,80.0
2024-06-10 11:30:00 UTC,2024-06-10 11:35:00 UTC,long,-25.0
2024-06-10 11:45:00 UTC,2024-06-10 12:00:00 UTC,long,10.0
2024-06-11 11:00:00 UTC,2024-06-11 11:10:00 UTC,short,25.0
2024-06-12 11:00:00 UTC,2024-06-12 11:05:00 UTC,short,138.0
2024-06-13 11:00:00 UTC,2024-06-13 11:05:00 UTC,short,176.0
2024-06-14 11:00:00 UTC,2024-06-14 11:10:00 UTC,long,15.0
2024-06-17 11:00:00 UTC,2024-06-17 11:05:00 UTC,long,97.0
2024-06-18 11:00:00 UTC,2024-06-18 11:05:00 UTC,short,-25.0
2024-06-18 12:00:00 UTC,2024-06-18 12:15:00 UTC,long,-25.0
2024-06-19 11:00:00 UTC,2024-06-19 12:59:00 UTC,short,22.0
2024-06-20 11:00:00 UTC,2024-06-20 11:10:00 UTC,long,75.0
2024-06-21 11:00:00 UTC,2024-06-21 11:15:00 UTC,long,-25.0
2024-06-21 11:25:00 UTC,2024-06-21 11:50:00 UTC,short,5.0
2024-06-24 11:00:00 UTC,2024-06-24 11:05:00 UTC,long,280.0
2024-06-25 11:00:00 UTC,2024-06-25 11:05:00 UTC,short,139.0
2024-06-26 11:00:00 UTC,2024-06-26 11:05:00 UTC,long,-25.0
2024-06-26 11:15:00 UTC,2024-06-26 11:30:00 UTC,long,5.0
2024-06-27 11:00:00 UTC,2024-06-27 11:05:00 UTC,long,107.0
2024-06-28 11:00:00 UTC,2024-06-28 11:05:00 UTC,long,75.0
2024-06-28 11:55:00 UTC,2024-06-28 12:05:00 UTC,long,-25.0
2024-07-01 11:00:00 UTC,2024-07-01 11:10:00 UTC,short,30.0
2024-07-01 11:25:00 UTC,2024-07-01 11:40:00 UTC,short,10.0
2024-07-02 11:00:00 UTC,2024-07-02 11:15:00 UTC,long,45.0
2024-07-02 12:05:00 UTC,2024-07-02 12:30:00 UTC,long,10.0
2024-07-03 11:00:00 UTC,2024-07-03 11:10:00 UTC,short,40.0
2024-07-03 12:50:00 UTC,2024-07-03 13:14:00 UTC,short,32.0
2024-07-04 11:00:00 UTC,2024-07-04 11:35:00 UTC,short,40.0
2024-07-05 11:00:00 UTC,2024-07-05 11:05:00 UTC,short,-25.0
2024-07-05 11:20:00 UTC,2024-07-05 11:40:00 UTC,short,-25.0
2024-07-08 11:00:00 UTC,2024-07-08 11:10:00 UTC,long,40.0
2024-07-08 11:25:00 UTC,2024-07-08 11:35:00 UTC,short,75.0
2024-07-09 11:00:00 UTC,2024-07-09 11:10:00 UTC,short,75.0
2024-07-09 12:00:00 UTC,2024-07-09 12:20:00 UTC,short,-25.0
2024-07-10 11:00:00 UTC,2024-07-10 11:10:00 UTC,long,10.0
2024-07-11 11:00:00 UTC,2024-07-11 11:05:00 UTC,long,75.0
2024-07-11 11:20:00 UTC,2024-07-11 11:30:00 UTC,long,75.0
2024-07-12 11:00:00 UTC,2024-07-12 11:05:00 UTC,long,143.0
2024-07-15 11:00:00 UTC,2024-07-15 11:15:00 UTC,long,40.0
2024-07-15 11:30:00 UTC,2024-07-15 11:40:00 UTC,long,75.0
2024-07-16 11:00:00 UTC,2024-07-16 11:05:00 UTC,long,383.0
2024-07-17 11:00:00 UTC,2024-07-17 11:05:00 UTC,long,162.0
2024-07-18 11:00:00 UTC,2024-07-18 11:05:00 UTC,long,76.0
2024-07-18 11:15:00 UTC,2024-07-18 11:20:00 UTC,long,-25.0
2024-07-19 11:00:00 UTC,2024-07-19 11:05:00 UTC,short,76.0
2024-07-22 11:00:00 UTC,2024-07-22 11:05:00 UTC,long,-25.0
2024-07-22 11:25:00 UTC,2024-07-22 11:35:00 UTC,short,25.0
2024-07-23 11:00:00 UTC,2024-07-23 11:05:00 UTC,short,-25.0
