instrument,contracts,direction,entry_ts_et,exit_ts_et,hold_minutes,entry_price,exit_price,entry_trigger,exit_reason,pnl_ticks,pnl_usd
MNQ,4,long,2025-02-13 11:55:00,2025-02-13 16:55:00,300.0,21951.5,22081.5,21951.5,close_all_flatten,520.0,1040.0
MGC,5,long,2025-02-13 12:00:00,2025-02-13 16:55:00,295.0,2942.5,2957.6,2942.5,close_all_flatten,150.9999999999991,754.9999999999955
YM,1,long,2025-02-14 11:10:00,2025-02-14 11:15:00,5.0,44802.0,44777.0,44802.0,stop_loss,-25.0,-125.0
MNQ,4,long,2025-02-14 11:00:00,2025-02-14 11:20:00,20.0,22140.5,22120.5,22140.5,stop_loss,-80.0,-160.0
MNQ,4,long,2025-02-14 11:30:00,2025-02-14 11:35:00,5.0,22140.5,22120.5,22140.5,stop_loss,-80.0,-160.0
YM,1,short,2025-02-14 11:55:00,2025-02-14 12:15:00,20.0,44741.0,44706.0,44741.0,stop_loss,35.0,175.0
MNQ,4,long,2025-02-14 11:00:00,2025-02-14 16:55:00,355.0,22140.5,22204.75,22140.5,close_all_flatten,257.0,514.0
YM,1,long,2025-02-14 11:10:00,2025-02-14 16:55:00,345.0,44802.0,44631.0,44802.0,close_all_flatten,-171.0,-855.0
MNQ,4,long,2025-02-14 11:30:00,2025-02-14 16:55:00,325.0,22140.5,22204.75,22140.5,close_all_flatten,257.0,514.0
YM,1,short,2025-02-14 11:55:00,2025-02-14 16:55:00,300.0,44741.0,44631.0,44741.0,close_all_flatten,110.0,550.0
MGC,5,short,2025-02-14 12:00:00,2025-02-14 16:55:00,295.0,2931.1,2894.3,2931.1,close_all_flatten,367.99999999999727,1839.9999999999864
YM,1,short,2025-02-17 11:00:00,2025-02-17 12:30:00,90.0,44718.0,44743.0,44718.0,stop_loss,-25.0,-125.0
MNQ,4,long,2025-02-17 11:00:00,2025-02-17 12:59:00,119.0,22219.25,22235.25,22219.25,close_all_flatten,64.0,128.0
YM,1,short,2025-02-17 11:00:00,2025-02-17 12:59:00,119.0,44718.0,44740.0,44718.0,close_all_flatten,-22.0,-110.0
YM,1,long,2025-02-17 12:40:00,2025-02-17 12:59:00,19.0,44750.0,44740.0,44750.0,close_all_flatten,-10.0,-50.0
YM,1,short,2025-02-18 11:15:00,2025-02-18 11:25:00,10.0,44563.0,44553.0,44563.0,stop_loss,10.0,50.0
YM,1,short,2025-02-18 11:35:00,2025-02-18 11:50:00,15.0,44563.0,44588.0,44563.0,stop_loss,-25.0,-125.0
MNQ,4,short,2025-02-18 12:10:00,2025-02-18 12:15:00,5.0,22164.5,22184.5,22164.5,stop_loss,-80.0,-160.0
YM,1,short,2025-02-18 11:15:00,2025-02-18 16:55:00,340.0,44563.0,44638.0,44563.0,close_all_flatten,-75.0,-375.0
YM,1,short,2025-02-18 11:35:00,2025-02-18 16:55:00,320.0,44563.0,44638.0,44563.0,close_all_flatten,-75.0,-375.0
MGC,5,long,2025-02-18 12:00:00,2025-02-18 16:55:00,295.0,2942.9,2954.8,2942.9,close_all_flatten,119.00000000000091,595.0000000000045
MNQ,4,short,2025-02-18 12:10:00,2025-02-18 16:55:00,285.0,22164.5,22219.75,22164.5,close_all_flatten,-221.0,-442.0
YM,1,short,2025-02-19 11:00:00,2025-02-19 11:10:00,10.0,44493.0,44518.0,44493.0,stop_loss,-25.0,-125.0
YM,1,short,2025-02-19 11:20:00,2025-02-19 11:25:00,5.0,44493.0,44518.0,44493.0,stop_loss,-25.0,-125.0
YM,1,short,2025-02-19 11:00:00,2025-02-19 16:55:00,355.0,44493.0,44664.0,44493.0,close_all_flatten,-171.0,-855.0
MNQ,4,long,2025-02-19 11:10:00,2025-02-19 16:55:00,345.0,22222.0,22222.25,22222.0,close_all_flatten,1.0,2.0
YM,1,short,2025-02-19 11:20:00,2025-02-19 16:55:00,335.0,44493.0,44664.0,44493.0,close_all_flatten,-171.0,-855.0
MGC,5,short,2025-02-19 12:00:00,2025-02-19 16:55:00,295.0,2944.5,2949.8,2944.5,close_all_flatten,-53.00000000000182,-265.0000000000091
YM,1,short,2025-02-20 11:00:00,2025-02-20 11:05:00,5.0,44557.0,44124.0,44557.0,profit_target,433.0,2165.0
MNQ,4,short,2025-02-20 11:00:00,2025-02-20 11:10:00,10.0,22039.5,22059.5,22039.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-02-20 11:20:00,2025-02-20 11:25:00,5.0,22039.5,22059.5,22039.5,stop_loss,-80.0,-160.0
MNQ,4,short,2025-02-20 11:00:00,2025-02-20 16:55:00,355.0,22039.5,22136.5,22039.5,close_all_flatten,-388.0,-776.0
YM,1,short,2025-02-20 11:00:00,2025-02-20 16:55:00,355.0,44557.0,44250.0,44557.0,close_all_flatten,307.0,1535.0
MNQ,4,short,2025-02-20 11:20:00,2025-02-20 16:55:00,335.0,22039.5,22136.5,22039.5,close_all_flatten,-388.0,-776.0
MGC,5,long,2025-02-20 12:00:00,2025-02-20 16:55:00,295.0,2954.4,2955.4,2954.4,close_all_flatten,10.0,50.0
MNQ,4,short,2025-02-21 11:00:00,2025-02-21 11:05:00,5.0,22089.5,21985.5,22089.5,profit_target,416.0,832.0
YM,1,short,2025-02-21 11:00:00,2025-02-21 11:05:00,5.0,43978.0,43849.0,43978.0,profit_target,129.0,645.0
MNQ,4,short,2025-02-21 11:00:00,2025-02-21 16:55:00,355.0,22089.5,21657.75,22089.5,close_all_flatten,1727.0,3454.0
YM,1,short,2025-02-21 11:00:00,2025-02-21 16:55:00,355.0,43978.0,43482.0,43978.0,close_all_flatten,496.0,2480.0
