Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
YM MAR26,Buy,1,35840,5/19/2022 5:00:00 PM,NT-00327-1656,Exit,-,NT-00342-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35707,5/19/2022 11:10:00 AM,NT-00326-1656,Entry,1 S,NT-00341-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,36762,5/16/2022 5:00:00 PM,NT-00325-1656,Exit,-,NT-00340-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,36657,5/16/2022 11:25:00 AM,NT-00324-1656,Entry,1 S,NT-00339-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,37375,5/6/2022 5:00:00 PM,NT-00323-1656,Exit,-,NT-00338-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,37417,5/6/2022 11:10:00 AM,NT-00322-1656,Entry,1 L,NT-00337-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,37695,5/3/2022 5:00:00 PM,NT-00321-1656,Exit,-,NT-00336-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,37606,5/3/2022 2:20:00 PM,NT-00320-1656,Entry,1 S,NT-00335-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,38410,4/28/2022 5:00:00 PM,NT-00319-1656,Exit,-,NT-00334-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,38019,4/28/2022 11:25:00 AM,NT-00318-1656,Entry,1 S,NT-00333-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,39035,4/18/2022 5:00:00 PM,NT-00317-1656,Exit,-,NT-00332-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,38983,4/18/2022 1:15:00 PM,NT-00316-1656,Entry,1 L,NT-00331-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,39022,4/14/2022 5:00:00 PM,NT-00315-1656,Exit,-,NT-00330-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,39161,4/14/2022 12:05:00 PM,NT-00314-1656,Entry,1 L,NT-00329-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,38792,4/12/2022 5:00:00 PM,NT-00313-1656,Exit,-,NT-00328-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,39105,4/12/2022 11:45:00 AM,NT-00312-1656,Entry,1 L,NT-00327-1656,Long,$0.00,1,Backtest,,
